Route
"['Distribution Centre Auckland', 'Countdown Meadowbank', 'Countdown St Johns', 'Countdown Sylvia Park', 'Distribution Centre Auckland']"
"['Distribution Centre Auckland', 'Countdown Mt Wellington', 'Countdown Pakuranga', 'FreshChoice Otahuhu', 'Distribution Centre Auckland']"
"['Distribution Centre Auckland', 'Countdown Mt Roskill', 'Countdown Three Kings', 'Distribution Centre Auckland']"
"['Distribution Centre Auckland', 'Countdown Northwest', 'Countdown Westgate', 'Distribution Centre Auckland']"
"['Distribution Centre Auckland', 'Countdown Henderson', 'FreshChoice Glen Eden', 'SuperValue Titirangi', 'Distribution Centre Auckland']"
"['Distribution Centre Auckland', 'Countdown Hobsonville', 'Countdown Te Atatu', 'Countdown Te Atatu South', 'Distribution Centre Auckland']"
"['Distribution Centre Auckland', 'Countdown Kelston', 'Countdown Lynmall', 'SuperValue Avondale', 'Distribution Centre Auckland']"
"['Distribution Centre Auckland', 'Countdown Lincoln Road', 'FreshChoice Ranui', 'SuperValue Palomino', 'Distribution Centre Auckland']"
"['Distribution Centre Auckland', 'Countdown Takanini', 'Distribution Centre Auckland']"
"['Distribution Centre Auckland', 'Countdown Papakura', 'Countdown Roselands', 'SuperValue Papakura', 'Distribution Centre Auckland']"
"['Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Victoria Street West', 'Countdown Metro Halsey Street', 'Distribution Centre Auckland']"
"['Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Lynfield', 'Countdown Onehunga', 'Distribution Centre Auckland']"
"['Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Newmarket', 'Countdown Pt Chevalier', 'Distribution Centre Auckland']"
"['Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Grey Lynn Central', 'Countdown St Lukes', 'Distribution Centre Auckland']"
"['Distribution Centre Auckland', 'Countdown Mt Eden', 'Countdown Ponsonby', 'Countdown Metro Albert Street', 'Distribution Centre Auckland']"
"['Distribution Centre Auckland', 'Countdown Airport', 'Countdown Mangere Mall', 'FreshChoice Mangere Bridge', 'Distribution Centre Auckland']"
"['Distribution Centre Auckland', 'Countdown Mangere East', 'Countdown Papatoetoe', 'SuperValue Flatbush', 'Distribution Centre Auckland']"
"['Distribution Centre Auckland', 'Countdown Manukau', 'Countdown Manukau Mall', 'Countdown Manurewa', 'Distribution Centre Auckland']"
"['Distribution Centre Auckland', 'Countdown Birkenhead', 'Countdown Northcote', 'Distribution Centre Auckland']"
"['Distribution Centre Auckland', 'Countdown Browns Bay', 'Countdown Mairangi Bay', 'Distribution Centre Auckland']"
"['Distribution Centre Auckland', 'Countdown Glenfield', 'Countdown Sunnynook', 'Distribution Centre Auckland']"
"['Distribution Centre Auckland', 'Countdown Hauraki Corner', 'Countdown Milford', 'Countdown Takapuna', 'Distribution Centre Auckland']"
"['Distribution Centre Auckland', 'Countdown Aviemore Drive', 'Countdown Highland Park', 'Countdown Meadowlands', 'Distribution Centre Auckland']"
"['Distribution Centre Auckland', 'Countdown Botany Downs', 'Countdown Howick', 'FreshChoice Half Moon Bay', 'Distribution Centre Auckland']"
